[2025-08-18 17:24:03] === Starting Large Orgs Bucket 1 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket1.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket1.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:27:25]   OK aws/eks-anywhere-packages: 5 commits, 90 PRs
[2025-08-18 17:27:28]   OK aws/aws-sdk-go-v2: 92 commits, 85 PRs
[2025-08-18 17:27:30]   OK aws/amazon-s3-encryption-client-java: 8 commits, 37 PRs
[2025-08-18 17:27:33]   OK aws/aws-sdk-php: 0 commits, 91 PRs
[2025-08-18 17:27:35]   OK aws/sagemaker-hyperpod-cli: 30 commits, 86 PRs
[2025-08-18 17:27:38]   OK aws/aws-application-networking-k8s: 4 commits, 75 PRs
[2025-08-18 17:27:40]   OK aws/aws-parallelcluster-cookbook: 0 commits, 87 PRs
[2025-08-18 17:27:45]   OK aws/amazon-cloudwatch-agent-operator: 1 commits, 81 PRs
[2025-08-18 17:27:48]   OK aws/eks-distro-prow-jobs: 10 commits, 89 PRs
[2025-08-18 17:27:50]   OK aws/aws-lambda-base-images: 0 commits, 1 PRs
[2025-08-18 17:27:52]   OK aws/aws-iot-device-sdk-js-v2: 1 commits, 85 PRs
[2025-08-18 17:27:55]   OK aws/c3r: 24 commits, 90 PRs
[2025-08-18 17:27:58]   OK aws/aws-lambda-java-libs: 1 commits, 91 PRs
[2025-08-18 17:28:00]   OK aws/s2n-quic: 21 commits, 76 PRs
[2025-08-18 17:28:02]   OK aws/aws-toolkit-visual-studio: 3 commits, 13 PRs
[2025-08-18 17:28:05]   OK aws/aws-advanced-jdbc-wrapper: 15 commits, 84 PRs
[2025-08-18 17:28:08]   OK aws/bedrock-agentcore-starter-toolkit: 38 commits, 66 PRs
[2025-08-18 17:28:09]   OK aws/amazon-redshift-odbc-driver: 2 commits, 0 PRs
[2025-08-18 17:28:11]   OK aws/aws-pgsql-odbc: 2 commits, 86 PRs
[2025-08-18 17:28:13]   OK aws/amazon-q-eclipse: 7 commits, 88 PRs
[2025-08-18 17:28:15]   OK aws/aws-iot-device-sdk-java-v2: 1 commits, 84 PRs
[2025-08-18 17:28:18]   OK aws/eks-distro-build-tooling: 19 commits, 89 PRs
[2025-08-18 17:28:21]   OK aws/aperf: 6 commits, 41 PRs
[2025-08-18 17:28:23]   OK aws/aws-network-policy-agent: 21 commits, 82 PRs
[2025-08-18 17:28:26]   OK aws/pgactive: 4 commits, 92 PRs
[2025-08-18 17:28:28]   OK aws/amazon-cloudwatch-agent-test: 4 commits, 76 PRs
[2025-08-18 17:28:31]   OK aws/language-server-runtimes: 30 commits, 83 PRs
[2025-08-18 17:28:33]   OK aws/aws-iot-device-sdk-cpp-v2: 3 commits, 83 PRs
[2025-08-18 17:28:36]   OK aws/amazon-eks-pod-identity-webhook: 0 commits, 82 PRs
[2025-08-18 17:28:39]   OK aws/aws-database-encryption-sdk-dynamodb: 4 commits, 63 PRs
[2025-08-18 17:28:41]   OK aws/amazon-inspector-container-image-scanner-jenkins-plugin: 7 commits, 54 PRs
[2025-08-18 17:28:43]   OK aws/sagemaker-hyperpod-cluster-setup: 13 commits, 0 PRs
[2025-08-18 17:28:46]   OK aws/sagemaker-python-sdk: 0 commits, 83 PRs
[2025-08-18 17:28:49]   OK aws/aws-lc-rs: 7 commits, 70 PRs
[2025-08-18 17:28:50]   OK aws/theroutingloop: 6 commits, 0 PRs
[2025-08-18 17:28:53]   OK aws/aws-lambda-dotnet: 0 commits, 81 PRs
[2025-08-18 17:28:55]   OK aws/lightsailctl: 0 commits, 15 PRs
[2025-08-18 17:28:58]   OK aws/jsii: 27 commits, 82 PRs
