[2025-08-18 17:24:03] === Starting Large Orgs Bucket 2 Repo Health Collection ===
[2025-08-18 17:24:03] Collecting: commits_last_30d + PRs_closed_30d
[2025-08-18 17:24:03] Input file: data/repos/batch_Aug_18/org_repo_counts_large_bucket2.csv
[2025-08-18 17:24:03] Output file: data/output/repo_health_large_bucket2.csv
[2025-08-18 17:24:03] Starting repo extraction for 13 organizations
[2025-08-18 17:27:06]   OK dell/dvd-dell-pro-ai-studio-chat: 1 commits, 0 PRs
[2025-08-18 17:27:08]   OK dell/ansible-vplex: 0 commits, 9 PRs
[2025-08-18 17:27:08] Processing org 3/13: Siemens (siemens)
[2025-08-18 17:27:16]   OK siemens/element: 100 commits, 97 PRs
[2025-08-18 17:27:17]   OK siemens/production-stack: 26 commits, 0 PRs
[2025-08-18 17:27:19]   OK siemens/standard-bom-python: 11 commits, 18 PRs
[2025-08-18 17:27:21]   OK siemens/gencmpclient: 0 commits, 63 PRs
[2025-08-18 17:27:23]   OK siemens/ix-docs: 13 commits, 33 PRs
[2025-08-18 17:27:26]   OK siemens/ix: 35 commits, 71 PRs
[2025-08-18 17:27:29]   OK siemens/continuous-clearing: 2 commits, 71 PRs
[2025-08-18 17:27:31]   OK siemens/fossology: 0 commits, 18 PRs
[2025-08-18 17:27:33]   OK siemens/wfx: 3 commits, 97 PRs
[2025-08-18 17:27:36]   OK siemens/linux-entra-sso: 20 commits, 62 PRs
[2025-08-18 17:27:38]   OK siemens/ngx-datatable: 25 commits, 95 PRs
[2025-08-18 17:27:40]   OK siemens/sw360-frontend: 0 commits, 0 PRs
[2025-08-18 17:27:42]   OK siemens/meta-iot2050: 0 commits, 85 PRs
[2025-08-18 17:27:44]   OK siemens/lint: 4 commits, 26 PRs
[2025-08-18 17:27:46]   OK siemens/vilocify-sdk-python: 7 commits, 33 PRs
[2025-08-18 17:27:48]   OK siemens/modular-application-creator-use-cases: 2 commits, 34 PRs
[2025-08-18 17:27:49]   OK siemens/sw360: 0 commits, 3 PRs
[2025-08-18 17:27:51]   OK siemens/openssl: 0 commits, 0 PRs
[2025-08-18 17:27:52]   OK siemens/vllm: 100 commits, 0 PRs
[2025-08-18 17:27:54]   OK siemens/LicenseDb: 0 commits, 0 PRs
[2025-08-18 17:27:55]   OK siemens/LightweightCmpRa: 0 commits, 37 PRs
[2025-08-18 17:27:57]   OK siemens/cmp-ra-component: 1 commits, 63 PRs
[2025-08-18 17:27:59]   OK siemens/qemu: 0 commits, 0 PRs
[2025-08-18 17:28:01]   OK siemens/efibootguard: 0 commits, 0 PRs
[2025-08-18 17:28:03]   OK siemens/simatic-s7-webserver-api: 13 commits, 77 PRs
[2025-08-18 17:28:05]   OK siemens/ix-starter: 1 commits, 17 PRs
[2025-08-18 17:28:08]   OK siemens/ix-blazor: 0 commits, 75 PRs
[2025-08-18 17:28:10]   OK siemens/mtda: 0 commits, 99 PRs
[2025-08-18 17:28:13]   OK siemens/.github: 0 commits, 30 PRs
[2025-08-18 17:28:14]   OK siemens/cmp-test-suite: 22 commits, 15 PRs
[2025-08-18 17:28:17]   OK siemens/kas: 0 commits, 0 PRs
[2025-08-18 17:28:18]   OK siemens/tia-portal-openness-code-snippets: 16 commits, 11 PRs
[2025-08-18 17:28:20]   OK siemens/kaniko: 0 commits, 0 PRs
[2025-08-18 17:28:22]   OK siemens/ix-icons: 2 commits, 52 PRs
[2025-08-18 17:28:23]   OK siemens/ieddata: 0 commits, 2 PRs
[2025-08-18 17:28:25]   OK siemens/isar-demo: 4 commits, 1 PRs
[2025-08-18 17:28:28]   OK siemens/ros-sharp: 0 commits, 76 PRs
[2025-08-18 17:28:29]   OK siemens/RHEL9-CIS: 0 commits, 0 PRs
[2025-08-18 17:28:31]   OK siemens/swupdate: 0 commits, 0 PRs
[2025-08-18 17:28:31] Processing org 4/13: Deutsche Telekom (telekom)
