org,repo,github_repo_url,last_committed,days_since_commit,stars,language,commits_last_30d,merges_last_30d,repo_health_score
snyk,snyk-swiftpm-plugin,https://github.com/snyk/snyk-swiftpm-plugin ,2025-08-26,2,2,TypeScript,1,0,0.5
snyk,sweater-comb,https://github.com/snyk/sweater-comb ,2025-08-26,2,6,TypeScript,1,0,0.5
thought-machine,please,https://github.com/thought-machine/please ,2025-08-28,0,2536,Go,1,0,0.5
thought-machine,please-servers,https://github.com/thought-machine/please-servers ,2025-08-21,7,9,Go,1,0,0.5
PaddleHQ,paddle-in-app-checkout-starter,https://github.com/PaddleHQ/paddle-in-app-checkout-starter ,2025-08-25,3,3,TypeScript,0,0,0.0
PaddleHQ,paddle-mobile-web-payments-starter,https://github.com/PaddleHQ/paddle-mobile-web-payments-starter ,2025-08-25,3,13,TypeScript,0,0,0.0
checkout,checkout-android-components,https://github.com/checkout/checkout-android-components ,2025-08-06,22,0,None,0,0,0.0
checkout,checkout-ios-components,https://github.com/checkout/checkout-ios-components ,2025-08-14,14,6,Swift,0,0,0.0
checkout,checkout-magento2-plugin,https://github.com/checkout/checkout-magento2-plugin ,2025-08-26,2,34,PHP,0,0,0.0
checkout,oob-authentication-android,https://github.com/checkout/oob-authentication-android ,2025-08-26,2,2,None,0,0,0.0
gocardless,anony,https://github.com/gocardless/anony ,2025-08-28,0,23,Ruby,0,0,0.0
gocardless,gocardless-dotnet,https://github.com/gocardless/gocardless-dotnet ,2025-08-27,1,29,C#,0,0,0.0
gocardless,gocardless-nodejs,https://github.com/gocardless/gocardless-nodejs ,2025-08-27,1,30,TypeScript,0,0,0.0
gocardless,gocardless-pro-java,https://github.com/gocardless/gocardless-pro-java ,2025-08-27,1,22,Java,0,0,0.0
gocardless,gocardless-pro-php,https://github.com/gocardless/gocardless-pro-php ,2025-08-27,1,99,PHP,0,0,0.0
gocardless,gocardless-pro-python,https://github.com/gocardless/gocardless-pro-python ,2025-08-27,1,40,Python,0,0,0.0
gocardless,gocardless-pro-ruby,https://github.com/gocardless/gocardless-pro-ruby ,2025-08-27,1,31,Ruby,0,0,0.0
gocardless,theatre,https://github.com/gocardless/theatre ,2025-08-18,10,23,Go,0,0,0.0
revolut-engineering,revolut-magento2-releases,https://github.com/revolut-engineering/revolut-magento2-releases ,2025-07-29,30,0,None,0,0,0.0
snyk,code-review-exercise-golang,https://github.com/snyk/code-review-exercise-golang ,2025-08-26,2,1,Go,0,0,0.0
snyk,code-review-exercise-node,https://github.com/snyk/code-review-exercise-node ,2025-08-26,2,2,TypeScript,0,0,0.0
snyk,code-review-exercise-python,https://github.com/snyk/code-review-exercise-python ,2025-08-26,2,1,Python,0,0,0.0
snyk,config,https://github.com/snyk/config ,2025-08-26,2,8,TypeScript,0,0,0.0
snyk,dep-graph,https://github.com/snyk/dep-graph ,2025-08-26,2,45,TypeScript,0,0,0.0
snyk,eslint-plugin-airtight,https://github.com/snyk/eslint-plugin-airtight ,2025-08-26,2,3,TypeScript,0,0,0.0
snyk,faker-security,https://github.com/snyk/faker-security ,2025-08-26,2,40,Python,0,0,0.0
snyk,github-codeowners,https://github.com/snyk/github-codeowners ,2025-08-26,2,22,TypeScript,0,0,0.0
snyk,groovy-vuln-examples,https://github.com/snyk/groovy-vuln-examples ,2025-08-26,2,1,Groovy,0,0,0.0
snyk,rpm-parser,https://github.com/snyk/rpm-parser ,2025-08-26,2,8,TypeScript,0,0,0.0
snyk,rust-vulnerable-apps,https://github.com/snyk/rust-vulnerable-apps ,2025-08-26,2,3,Rust,0,0,0.0
snyk,snyk-apps-demo,https://github.com/snyk/snyk-apps-demo ,2025-08-26,2,20,TypeScript,0,0,0.0
snyk,snyk-code-local-engine,https://github.com/snyk/snyk-code-local-engine ,2025-08-26,2,3,HTML,0,0,0.0
snyk,snyk-universal-broker-helm,https://github.com/snyk/snyk-universal-broker-helm ,2025-08-26,2,3,TypeScript,0,0,0.0
snyk,unless-overloaded,https://github.com/snyk/unless-overloaded ,2025-08-26,2,4,TypeScript,0,0,0.0
