org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description
shopify,spatial-commerce-projects,2,11,3,2024-05-16,-1,
shopify,usage-billing-example-shopify-app,6,18,8,2023-07-13,-1,
shopify,handy,2,147,13,2025-05-13,-1,The easiest way to mocap your hands!
shopify,shopify-function-javascript,3,32,8,2025-08-04,-1,
shopify,flink-kubernetes-operator,1,4,3,2025-07-29,-1,Apache Flink Kubernetes Operator
shopify,ebpf_exporter,0,1,7,2023-03-21,-1, Prometheus exporter for custom eBPF metrics
shopify,ferrum,0,1,4,2023-12-12,-1,Headless Chrome Ruby API
shopify,bluejay,4,30,5,2025-08-08,-1,GraphQL tools for Rust
shopify,zts-dev-test,1,2,4,2023-01-27,-1,
shopify,levenshtein-ffi,0,2,4,2023-03-22,-1,"Fast string edit distance computation, using the Damerau-Levenshtein algorithm."
shopify,blockchain-components,9,83,21,2025-01-24,-1,Blockchain related React UI components for Shopify storefronts
shopify,stringio,0,1,3,2024-06-04,-1,Pseudo `IO` class from/to `String`.
shopify,tokengating-example-app,3,38,14,2023-08-15,-1,"A Shopify example app that creates and enforces tokengated product discounts, written in Node.js"
shopify,go-mysql,0,1,4,2023-08-17,-1,a powerful mysql toolset with Go
shopify,flink-kubernetes-operator-1,0,1,1,2023-02-08,-1,Apache Flink Kubernetes Operator
shopify,syntax_tree,0,1,4,2024-10-28,-1,A fast Ruby parser and formatter
shopify,bench,2,1,2,2024-07-24,-1,
shopify,vscode-rdbg,1,2,4,2024-06-18,-1,VSCode Ruby rdbg Debugger
shopify,pid_cache,1,40,3,2025-08-11,-1,Cache calls to Process.pid
shopify,kyverno,1,1,3,2024-06-24,-1,Kubernetes Native Policy Management
shopify,vscode-docs,1,1,2,2024-09-19,-1,Public documentation for Visual Studio Code
shopify,tracky,15,380,29,2025-05-13,-1,The easiest way to do motion tracking! 
shopify,function-runner-javascript,2,7,2,2024-08-14,-1,
shopify,bb8-memcached,0,0,0,2023-02-28,-1,
shopify,bundler-install-stats,3,4,1,2025-08-04,-1,A Bundler plugin to measure how long each gem takes to install
shopify,async-memcached,4,12,5,2025-08-12,-1,
shopify,cruise-control-1,0,1,0,2023-03-23,-1,Cruise-control is the first of its kind to fully automate the dynamic workload rebalance and self-healing of a Kafka cluster. It provides great value to Kafka users by simplifying the operation of Kafka clusters.
shopify,opentelemetry-lua,6,0,0,2024-04-19,-1,opentelemetry lua sdk
shopify,asynq,6,3,2,2024-04-19,-1,"Simple, reliable, and efficient distributed task queue in Go"
shopify,ruby-lsp-rails,41,639,33,2025-08-12,-1,A Ruby LSP add-on for Rails
shopify,chatbot-ui,6,16,7,2024-06-18,-1,An open source ChatGPT UI.
shopify,binaryen-rb,3,1,2,2025-08-04,-1,
shopify,asynq-1,10,0,2,2024-11-06,-1,"Simple, reliable, and efficient distributed task queue in Go"
shopify,asynqmon,4,2,3,2024-06-18,-1,Web UI for Asynq task queue
shopify,shop-minis,4,2,3,2025-08-08,-1,Collection of examples for the Shop Minis platform
shopify,shopify-app-template-remix,73,503,229,2025-08-12,-1,
shopify,wasmprof,9,16,5,2025-06-06,-1,
shopify,i18next-shopify,27,30,5,2025-08-12,-1,
shopify,tracee-action,1,0,0,2023-04-20,-1,Protect GitHub Actions with Tracee
shopify,font-awesome-sass,0,0,0,2023-04-21,-1,Font-Awesome Sass gem for use in Ruby/Rails projects
shopify,ruby-jose,1,0,1,2023-05-15,1,JSON Object Signing and Encryption (JOSE) for Ruby
shopify,test-collector-ruby-1,0,0,0,2023-04-20,0,Buildkite Test Analytics collector for Ruby test frameworks
shopify,hydrogen-redirect-theme,5,56,28,2025-08-04,2,
shopify,checkout-ui-tutorials,2,6,0,2023-07-13,2,A sample app used to build checkout UI extension tutorials
shopify,extensions-templates,23,90,15,2025-07-30,20,
shopify,tap-impact,1,0,0,2025-08-11,1,A Shopify fork of the Singer tap for Impact Radius
shopify,tap-sftp-xml-support,1,0,0,2024-10-04,1,tap-sftp with XML support
shopify,adyen-ruby-api-library,2,0,0,2023-10-24,2,Adyen API Library for Ruby
shopify,minitest-reporters-json_reporter,0,0,0,2023-05-18,0,Source of minitest-reporters-json_reporter Gem. An extension to the minitest-reporters Gem that provides JSON output for test runs.
shopify,vitess-website,0,0,0,2024-03-26,0,vitess.io website and other project management related content
shopify,gated-hydrogen-example,4,16,4,2024-06-18,3,
shopify,autotuner,7,569,15,2025-08-11,6,Get suggestions to tune Ruby's garbage collector
shopify,ruby-definitions,0,58,5,2025-05-20,0,"Definitions to build the Ruby we use at Shopify in development, testing, and production."
shopify,i18n-ally,0,3,0,2023-07-11,0,🌍 All in one i18n extension for VS Code
shopify,torch-grammar,8,67,5,2025-08-11,7,
shopify,example-checkout--product-offer-pre-purchase--react,1,1,4,2024-09-12,1,
shopify,example-checkout--product-offer-pre-purchase--js,1,5,3,2024-09-11,1,
shopify,example-checkout--custom-field--react,1,8,4,2024-08-07,1,
shopify,example-checkout--custom-field--js,1,8,6,2024-08-07,1,
shopify,tap-prometheus,0,1,1,2023-03-20,0,Singer.io Prometheus tap
shopify,example-checkout--client-validation--react,2,5,3,2025-01-31,1,
shopify,shopify-app-template-none,4,15,7,2025-08-11,2,
shopify,example-checkout--client-validation--js,2,3,1,2024-08-07,0,
shopify,example-checkout--order-status--react,2,8,3,2024-08-07,0,
shopify,tap-github,0,1,0,2023-07-17,0,A Singer tap for extracting data from Github. Powered by the Meltano SDK for Singer Taps: https://sdk.meltano.com
shopify,example-app--qr-code--remix,6,75,55,2025-07-22,3,
shopify,example-checkout--custom-banner--react,2,3,1,2024-10-21,0,
shopify,example-checkout--custom-banner--js,1,1,1,2024-08-07,0,
shopify,percona-server-1,2,0,0,2024-06-17,2,Percona Server
shopify,flink-connector-gcp-pubsub,1,0,0,2025-01-14,1,Apache flink
shopify,github-workflows,0,6,2,2025-06-02,-1,GitHub Actions reusable workflows
shopify,rdoc,1,1,2,2025-06-27,-1,RDoc produces HTML and online documentation for Ruby projects.
shopify,theme-tools,133,145,52,2025-08-05,-1,Everything developer experience for Shopify themes
shopify,skypilot,3,9,2,2025-05-29,-1,"SkyPilot: Run LLMs, AI, and Batch jobs on any cloud. Get maximum savings, highest GPU availability, and managed execution—all with a simple interface."
shopify,globalid,1,0,1,2024-06-04,-1,Identify app models with a URI
shopify,discount-app-components-1,6,1,0,2024-04-11,-1,A library of discounts-focused React components to help in building Shopify apps.
shopify,checkout-sheet-kit-swift,14,52,23,2025-08-12,-1,Shopify’s Checkout Sheet Kit makes it simple to perform a checkout inside your Swift native app.
shopify,my_new_app,4,1,2,2024-06-04,-1,
shopify,prisma-engines,5,1,1,2024-04-05,-1,Temporary fork of prisma-engines to address bugs yet to be fixed upstream
shopify,racecar,1,1,0,2025-01-06,-1,Racecar: a simple framework for Kafka consumers in Ruby
shopify,opentsdb-bigtable,0,0,0,2023-09-22,-1,
shopify,influxdb_iox,5,1,0,2024-04-19,-1,"Pronounced (influxdb eye-ox), short for iron oxide. This is the new core of InfluxDB written in Rust on top of Apache Arrow."
shopify,opentelemetry-ruby-contrib,38,0,0,2025-05-01,-1,Contrib Packages for the OpenTelemetry Ruby API and SDK implementation.
shopify,example-app--qr-code--remix-1,0,0,0,2023-09-06,-1,
shopify,example-app--qr-code--remix-2,0,0,1,2023-09-06,-1,
shopify,vecsearch,1,1,1,2024-05-16,-1,
shopify,blake3-rb,8,12,3,2025-08-12,-1,
shopify,checkout-sheet-kit-android,10,18,12,2025-08-12,-1,Shopify’s Checkout Sheet Kit makes it simple to perform a checkout inside your Android app.
shopify,event_stream_parser,3,34,4,2025-08-11,-1,"A lightweight, fully spec-compliant parser for the event stream format."
shopify,mobile-kit-feedback,0,3,0,2024-01-30,-1,A place to dicsuss all things Shopify Mobile-Kit
shopify,minitest-distributed,2,9,1,2025-08-12,-1,minitest-distributed is a plugin for minitest for executing tests on a distributed set of unreliable workers.
shopify,worldwide,16,83,7,2025-08-12,-1,A gem to assist with the internationalization and localization of ruby code
shopify,tap-facebook,1,0,0,2025-06-10,-1,Singer.io tap for Facebook Marketing API
shopify,tap-bing-ads,1,0,0,2025-06-10,-1,A Singer.io tap for extracting data from the Bing Ads API
shopify,customer-account-tutorials,20,7,2,2025-07-23,-1,Coding tutorials related to customer accounts
shopify,checkout-sheet-kit-react-native,25,56,11,2025-08-12,-1,Shopify's Checkout Sheet Kit for React Native - simplifying the process of adding checkout to your native apps.
shopify,example-admin--action-and-block--react,4,8,5,2025-02-20,-1,Contains example code for tutorials at https://shopify.dev/docs/apps/admin/admin-actions-and-blocks
shopify,rack-sanitizer,3,6,4,2025-05-13,-1,
shopify,vite_ruby,7,0,0,2024-12-03,-1,"⚡️ Vite.js in Ruby, bringing joy to your JavaScript experience"
shopify,activerecord-typedstore,0,0,0,2023-08-17,-1,ActiveRecord::Store but with type definition
shopify,djb2,2,1,1,2025-08-11,-1,Ruby extension to compute djb_hash_2 digests
shopify,json_api_client,1,0,0,2024-05-02,-1,Build client libraries compliant with specification defined by jsonapi.org
shopify,opentelemetry-swift,1,1,2,2025-04-04,-1,OpenTelemetry API for Swift
shopify,dbt-bigquery,0,0,0,2023-12-08,-1,dbt-bigquery contains all of the code required to make dbt operate on a BigQuery database.
shopify,elasticsearch-learning-to-rank,0,0,0,2023-12-14,-1,Plugin to integrate Learning to Rank (aka machine learning for better relevance) with Elasticsearch
shopify,clickhouse-operator,4,1,1,2025-03-03,-1,"Altinity Kubernetes Operator for ClickHouse creates, configures and manages ClickHouse clusters running on Kubernetes"
shopify,example-app--payments-app-template--remix,2,21,12,2025-08-11,-1,
shopify,example-app--credit-card-payments-app-template--remix,2,14,6,2025-08-11,-1,
shopify,eng-intern-assessment-data,168,11,230,2025-08-11,-1,A Starter repo for Shopify Data Eng Intern Assessments
