org_name,repo_name,open_issue_count,stars_count,forks_count,last_pushed_date,pull_requests_open_count,about_description,merged_prs_30d,hyperlink
stripe,stripe-android,128,1407,677,2025-08-12,76,Stripe Android SDK    ,126,https://github.com/stripe/stripe-android
stripe,stripe-ios,158,2426,1015,2025-08-12,91,Stripe iOS SDK    ,119,https://github.com/stripe/stripe-ios
shopify,cli,92,543,197,2025-08-12,0,"Build apps, themes, and hydrogen storefronts for Shopify",75,https://github.com/shopify/cli
stripe,stripe-mock,4,1495,120,2025-08-11,0,stripe-mock is a mock HTTP server that responds like the real Stripe API. It can be used instead of Stripe's testmode to make test suites integrating with Stripe faster and less brittle.,64,https://github.com/stripe/stripe-mock
shopify,checkout-sheet-kit-swift,14,52,23,2025-08-12,0,Shopify’s Checkout Sheet Kit makes it simple to perform a checkout inside your Swift native app.,44,https://github.com/shopify/checkout-sheet-kit-swift
shopify,ruby-lsp,117,1849,213,2025-08-11,20,An opinionated language server for Ruby,35,https://github.com/shopify/ruby-lsp
stripe,stripe-react-native,161,1353,291,2025-08-11,24,React Native library for Stripe.,34,https://github.com/stripe/stripe-react-native
shopify,react-native-skia,88,7748,527,2025-08-12,20,High-performance React Native Graphics using Skia,22,https://github.com/shopify/react-native-skia
shopify,hydrogen,164,1715,352,2025-08-11,0,"Hydrogen lets you build faster headless storefronts in less time, on Shopify.",19,https://github.com/shopify/hydrogen
shopify,dev-mcp,28,464,52,2025-08-12,17,Shopify.dev MCP server,19,https://github.com/shopify/dev-mcp
stripe,stripe-terminal-react-native,31,138,58,2025-08-12,6,React Native SDK for Stripe Terminal,18,https://github.com/stripe/stripe-terminal-react-native
shopify,roast,168,799,38,2025-08-11,12,Structured AI workflows made easy,12,https://github.com/shopify/roast
shopify,tapioca,115,794,149,2025-08-12,0,The swiss army knife of RBI generation,12,https://github.com/shopify/tapioca
shopify,theme-tools,133,145,52,2025-08-05,0,Everything developer experience for Shopify themes,11,https://github.com/shopify/theme-tools
shopify,yjit-metrics,14,16,11,2025-08-04,0,"""Tasks for benchmarking, building and collecting stats for YJIT""",11,https://github.com/shopify/yjit-metrics
stripe,stripe-js,12,700,172,2025-08-01,2,Loading wrapper for Stripe.js,11,https://github.com/stripe/stripe-js
shopify,shopify-app-js,111,435,166,2025-08-11,0,,10,https://github.com/shopify/shopify-app-js
stripe,pg-schema-diff,55,558,39,2025-08-11,0,Go library for diffing Postgres schemas and generating SQL migrations,10,https://github.com/stripe/pg-schema-diff
shopify,job-iteration,49,1245,53,2025-08-11,20,Makes your background jobs interruptible and resumable by design.,9,https://github.com/shopify/job-iteration
shopify,ruby-lsp-rails,41,639,33,2025-08-12,9,A Ruby LSP add-on for Rails,9,https://github.com/shopify/ruby-lsp-rails
shopify,vscode-shopify-ruby,2,190,16,2025-08-11,0,An opinionated and auto-configured set of extensions for Ruby development,9,https://github.com/shopify/vscode-shopify-ruby
stripe,stripe-node,49,4152,805,2025-08-11,10,Node.js library for the Stripe API.    ,8,https://github.com/stripe/stripe-node
stripe,stripe-dotnet,19,1432,578,2025-08-11,4,"Stripe.net is a sync/async .NET 4.6.1+ client, and a portable class library for stripe.com.",8,https://github.com/stripe/stripe-dotnet
shopify,flash-list,214,6497,322,2025-08-11,33,A better list for React Native,7,https://github.com/shopify/flash-list
shopify,toxiproxy,92,11412,471,2025-08-11,-1,:alarm_clock: :fire: A TCP proxy to simulate network and system conditions for chaos and resiliency testing,7,https://github.com/shopify/toxiproxy
stripe,stripe-go,13,2372,487,2025-08-11,2,Go library for the Stripe API.    ,7,https://github.com/stripe/stripe-go
shopify,semian,51,1423,81,2025-08-12,-1,:monkey: Resiliency toolkit for Ruby for failing fast,6,https://github.com/shopify/semian
stripe,stripe-ruby,19,2037,578,2025-08-11,3,Ruby library for the Stripe API.    ,6,https://github.com/stripe/stripe-ruby
shopify,cli-ui,14,1090,57,2025-08-04,-1,CLI tooling framework with simple interactive widgets,5,https://github.com/shopify/cli-ui
shopify,tophat,1,784,29,2025-08-11,-1,Easily install and test mobile applications with a single click.,5,https://github.com/shopify/tophat
shopify,extensions-templates,23,90,15,2025-07-30,20,,5,https://github.com/shopify/extensions-templates
shopify,function-runner,9,79,14,2025-08-11,8,,5,https://github.com/shopify/function-runner
shopify,checkout-sheet-kit-react-native,25,56,11,2025-08-12,-1,Shopify's Checkout Sheet Kit for React Native - simplifying the process of adding checkout to your native apps.,5,https://github.com/shopify/checkout-sheet-kit-react-native
shopify,ghostferry,74,810,78,2025-08-04,28,The swiss army knife of live data migrations,4,https://github.com/shopify/ghostferry
shopify,dawn,11,2781,3959,2025-08-06,-1,"Shopify's first source available reference theme, with Online Store 2.0 features and performance built-in.",4,https://github.com/shopify/dawn
shopify,shopify-function-wasm-api,10,6,0,2025-08-12,10,A WebAssembly programming interface for Shopify Functions,4,https://github.com/shopify/shopify-function-wasm-api
shopify,rbi-central,21,62,45,2025-08-05,-1,,4,https://github.com/shopify/rbi-central
shopify,homebrew-shopify,21,49,28,2025-08-06,-1,,4,https://github.com/shopify/homebrew-shopify
shopify,asset_cloud,6,27,8,2025-08-04,2,An abstraction layer around arbitrary and diverse asset stores,4,https://github.com/shopify/asset_cloud
stripe,stripe-cli,183,1750,405,2025-08-04,11,A command-line tool for Stripe,4,https://github.com/stripe/stripe-cli
stripe,stripe-python,21,1848,454,2025-08-11,5,Python library for the Stripe API.    ,4,https://github.com/stripe/stripe-python
stripe,smokescreen,25,1179,81,2025-08-11,8,A simple HTTP proxy that fogs over naughty URLs    ,4,https://github.com/stripe/smokescreen
stripe,stripe-java,25,885,371,2025-08-11,3,Java library for the Stripe API.    ,4,https://github.com/stripe/stripe-java
stripe,stripe-php,13,3912,880,2025-08-11,2,PHP library for the Stripe API.    ,4,https://github.com/stripe/stripe-php
stripe,react-stripe-js,6,1927,294,2025-08-04,2,React components for Stripe.js and Stripe Elements,4,https://github.com/stripe/react-stripe-js
shopify,identity_cache,41,1940,173,2025-08-04,-1,"IdentityCache is a blob level caching solution to plug into Active Record. Don't #find, #fetch!",3,https://github.com/shopify/identity_cache
shopify,ejson,5,1433,65,2025-08-11,-1,EJSON is a small library to manage encrypted secrets using asymmetric encryption.,3,https://github.com/shopify/ejson
shopify,ruby-style-guide,10,557,51,2025-08-11,-1,Shopify’s Ruby Style Guide,3,https://github.com/shopify/ruby-style-guide
shopify,worldwide,16,83,7,2025-08-12,-1,A gem to assist with the internationalization and localization of ruby code,3,https://github.com/shopify/worldwide
shopify,cli-kit,3,155,16,2025-08-04,-1,Framework/Engine for command line interfaces,3,https://github.com/shopify/cli-kit
stripe,stripe-terminal-ios,21,120,71,2025-08-07,0,Stripe Terminal iOS SDK,3,https://github.com/stripe/stripe-terminal-ios
shopify,polaris,182,6018,1228,2025-08-11,-1,Shopify’s design system to help us work together to build a great experience for all of our merchants.,2,https://github.com/shopify/polaris
shopify,graphql-batch,17,1429,105,2025-08-12,-1,A query batching executor for the graphql gem,2,https://github.com/shopify/graphql-batch
shopify,pitchfork,8,795,33,2025-07-28,-1,,2,https://github.com/shopify/pitchfork
shopify,autotuner,7,569,15,2025-08-11,6,Get suggestions to tune Ruby's garbage collector,2,https://github.com/shopify/autotuner
shopify,deprecation_toolkit,10,509,35,2025-08-08,-1,⚒Eliminate deprecations from your codebase ⚒,2,https://github.com/shopify/deprecation_toolkit
shopify,ci-queue,17,179,34,2025-08-11,2,Distribute tests over many workers using a queue,2,https://github.com/shopify/ci-queue
shopify,liquid-spec,17,0,0,2025-08-12,-1,liquid-spec is a test suite for the Liquid language.,2,https://github.com/shopify/liquid-spec
stripe,subprocess,6,210,18,2025-07-24,1,A port of Python's subprocess module to Ruby    ,2,https://github.com/stripe/subprocess
stripe,stripe-terminal-android,20,113,53,2025-08-01,0,Stripe Terminal Android SDK,2,https://github.com/stripe/stripe-terminal-android
shopify,krane,67,1397,119,2025-07-16,-1,A command-line tool that helps you ship changes to a Kubernetes namespace and understand the result,1,https://github.com/shopify/krane
