org,repo,hyperlink,commits_last_30d,PRs_closed_30d
broadcom,OpenMDK,https://github.com/Broadcom/OpenMDK,0,0
broadcom,HOL-2670,https://github.com/Broadcom/HOL-2670,41,0
broadcom,HOL-2671,https://github.com/Broadcom/HOL-2671,51,0
broadcom,HOL-2637,https://github.com/Broadcom/HOL-2637,5,0
broadcom,HOL-2636,https://github.com/Broadcom/HOL-2636,7,0
broadcom,HOL-2633,https://github.com/Broadcom/HOL-2633,0,0
broadcom,HOL-2608,https://github.com/Broadcom/HOL-2608,11,0
broadcom,HOL-2634,https://github.com/Broadcom/HOL-2634,14,0
broadcom,terraform-provider-luminate,https://github.com/Broadcom/terraform-provider-luminate,0,89
broadcom,HOL-2649,https://github.com/Broadcom/HOL-2649,14,0
broadcom,HOL-2610,https://github.com/Broadcom/HOL-2610,3,0
broadcom,HOLFY26-MGR-HOLUSER,https://github.com/Broadcom/HOLFY26-MGR-HOLUSER,2,0
broadcom,HOL-2630,https://github.com/Broadcom/HOL-2630,1,0
broadcom,stblinux,https://github.com/Broadcom/stblinux,0,0
broadcom,HOL-8807,https://github.com/Broadcom/HOL-8807,0,0
broadcom,HOL-8805,https://github.com/Broadcom/HOL-8805,0,0
schneider-electric,edgex-go,https://github.com/schneider-electric/edgex-go,8,0
schneider-electric,node-red-contrib-edgex-connector,https://github.com/schneider-electric/node-red-contrib-edgex-connector,1,0
schneider-electric,device-sdk-go,https://github.com/schneider-electric/device-sdk-go,5,0
qualcomm,eld,https://github.com/qualcomm/eld,67,92
qualcomm,fastrpc,https://github.com/qualcomm/fastrpc,13,56
qualcomm,kleidiai,https://github.com/qualcomm/kleidiai,4,0
qualcomm,qcom-test-automation-controller,https://github.com/qualcomm/qcom-test-automation-controller,15,6
qualcomm,PatchWise,https://github.com/qualcomm/PatchWise,24,12
qualcomm,Startup-Demos,https://github.com/qualcomm/Startup-Demos,20,16
qualcomm,XNNPACK,https://github.com/qualcomm/XNNPACK,0,0
qualcomm,fastboot.efi,https://github.com/qualcomm/fastboot.efi,9,8
qualcomm,bt-rviz,https://github.com/qualcomm/bt-rviz,1,0
qualcomm,csm-utils,https://github.com/qualcomm/csm-utils,11,3
qualcomm,fastrpc-image,https://github.com/qualcomm/fastrpc-image,10,2
qualcomm,dragonwing-iot-samples,https://github.com/qualcomm/dragonwing-iot-samples,7,3
qualcomm,qdlrs,https://github.com/qualcomm/qdlrs,12,20
qualcomm,onnxruntime,https://github.com/qualcomm/onnxruntime,0,0
qualcomm,.github,https://github.com/qualcomm/.github,2,10
qualcomm,minkipc,https://github.com/qualcomm/minkipc,2,6
qualcomm,AvxToNeon,https://github.com/qualcomm/AvxToNeon,0,0
qualcomm,snapdragon-compute-samples,https://github.com/qualcomm/snapdragon-compute-samples,1,2
qualcomm,awesome-qualcomm-developer,https://github.com/qualcomm/awesome-qualcomm-developer,3,3
quic,qemu,https://github.com/quic/qemu,0,79
quic,efficient-transformers,https://github.com/quic/efficient-transformers,12,74
quic,aimet,https://github.com/quic/aimet,0,86
quic,ai-hub-models,https://github.com/quic/ai-hub-models,4,6
