org,repo,hyperlink,commits_last_30d,PRs_closed_30d,source,health_score
microsoft,vscode-mermAId,https://github.com/microsoft/vscode-mermAId,1,88,MICROSOFT,177
intel,memtierd,https://github.com/intel/memtierd,3,87,LARGE_BUCKET2,177
microsoft,coe-starter-kit,https://github.com/microsoft/coe-starter-kit,3,87,MICROSOFT,177
microsoft,Power-CAT-Copilot-Studio-Kit,https://github.com/microsoft/Power-CAT-Copilot-Studio-Kit,13,82,MICROSOFT,177
servicenow,AgentLab,https://github.com/ServiceNow/AgentLab,13,82,LARGE_BUCKET3,177
microsoft,Teams-AdaptiveCards-Mobile,https://github.com/microsoft/Teams-AdaptiveCards-Mobile,43,67,MICROSOFT,177
apple,pkl-lsp,https://github.com/apple/pkl-lsp,3,87,LARGE_BUCKET1,177
ibm,RMF,https://github.com/IBM/RMF,9,84,IBM,177
ibm,waiops-tech-jam,https://github.com/IBM/waiops-tech-jam,1,88,IBM,177
tencent,tdesign-react,https://github.com/Tencent/tdesign-react,15,81,LARGE_BUCKET1,177
microsoft,AttackSurfaceAnalyzer,https://github.com/microsoft/AttackSurfaceAnalyzer,1,88,MICROSOFT,177
square,workflow-swift,https://github.com/square/workflow-swift,5,86,LARGE_BUCKET3,177
siemens,ix,https://github.com/siemens/ix,35,71,LARGE_BUCKET2,177
microsoft,mu_feature_config,https://github.com/microsoft/mu_feature_config,5,86,MICROSOFT,177
infineon,XMC-for-Arduino,https://github.com/Infineon/XMC-for-Arduino,0,88,LARGE_BUCKET3,176
pinterest,orion,https://github.com/pinterest/orion,0,88,SMALL_ORGS,176
microsoft,RecursiveExtractor,https://github.com/microsoft/RecursiveExtractor,2,87,MICROSOFT,176
intel,ipu6-drivers,https://github.com/intel/ipu6-drivers,0,88,LARGE_BUCKET2,176
microsoft,eureka-ml-insights,https://github.com/microsoft/eureka-ml-insights,0,88,MICROSOFT,176
aws,homebrew-tap,https://github.com/aws/homebrew-tap,0,88,LARGE_BUCKET1,176
google,garf,https://github.com/google/garf,24,76,GOOGLE,176
datadog,dd-trace-java-docker-build,https://github.com/DataDog/dd-trace-java-docker-build,0,88,LARGE_BUCKET4,176
crowdstrike,falcon-operator,https://github.com/CrowdStrike/falcon-operator,12,82,LARGE_BUCKET4,176
microsoft,mystikos,https://github.com/microsoft/mystikos,2,87,MICROSOFT,176
spotify,github-java-client,https://github.com/spotify/github-java-client,0,88,LARGE_BUCKET3,176
square,square-java-sdk,https://github.com/square/square-java-sdk,0,88,LARGE_BUCKET3,176
google,built_value.dart,https://github.com/google/built_value.dart,0,88,GOOGLE,176
vmware,harbor-boshrelease,https://github.com/vmware/harbor-boshrelease,0,88,LARGE_BUCKET2,176
palantir,palantir-java-format,https://github.com/palantir/palantir-java-format,0,88,LARGE_BUCKET4,176
shopify,function-examples,https://github.com/Shopify/function-examples,0,88,LARGE_BUCKET3,176
microsoft,MMdnn,https://github.com/microsoft/MMdnn,0,88,MICROSOFT,176
vmware,packer-examples-for-vsphere,https://github.com/vmware/packer-examples-for-vsphere,0,88,LARGE_BUCKET2,176
vmware,global-load-balancing-services-for-kubernetes,https://github.com/vmware/global-load-balancing-services-for-kubernetes,0,88,LARGE_BUCKET2,176
vmware,load-balancer-and-ingress-services-for-kubernetes,https://github.com/vmware/load-balancer-and-ingress-services-for-kubernetes,0,88,LARGE_BUCKET2,176
apple,swift-openapi-generator,https://github.com/apple/swift-openapi-generator,4,86,LARGE_BUCKET1,176
microsoft,scitt-ccf-ledger,https://github.com/microsoft/scitt-ccf-ledger,4,86,MICROSOFT,176
