org,repo,hyperlink,commits_last_30d,PRs_closed_30d
ibm,networking-node-sdk,https://github.com/IBM/networking-node-sdk,0,96
ibm,networking-go-sdk,https://github.com/IBM/networking-go-sdk,0,70
ibm,operand-deployment-lifecycle-manager,https://github.com/IBM/operand-deployment-lifecycle-manager,0,94
ibm,terramind,https://github.com/IBM/terramind,3,0
ibm,SystemT,https://github.com/IBM/SystemT,46,37
ibm,oper8,https://github.com/IBM/oper8,9,74
ibm,scriptit,https://github.com/IBM/scriptit,10,17
ibm,SystemT-EclipseTooling,https://github.com/IBM/SystemT-EclipseTooling,21,17
ibm,contextual-privacy-LLM,https://github.com/IBM/contextual-privacy-LLM,5,1
ibm,ibm-spectrum-scale-bridge-for-grafana,https://github.com/IBM/ibm-spectrum-scale-bridge-for-grafana,0,98
ibm,vscode-clle,https://github.com/IBM/vscode-clle,2,15
ibm,cloudant-spring,https://github.com/IBM/cloudant-spring,13,98
ibm,activation-steering,https://github.com/IBM/activation-steering,2,2
ibm,watsonx-developer-hub,https://github.com/IBM/watsonx-developer-hub,26,48
ibm,pandasqlite,https://github.com/IBM/pandasqlite,1,0
ibm,agentic-patterns,https://github.com/IBM/agentic-patterns,17,2
ibm,continuous-delivery-python-sdk,https://github.com/IBM/continuous-delivery-python-sdk,16,56
ibm,continuous-delivery-node-sdk,https://github.com/IBM/continuous-delivery-node-sdk,16,63
ibm,guardium-supported-datasources,https://github.com/IBM/guardium-supported-datasources,9,89
ibm,event-automation,https://github.com/IBM/event-automation,10,95
ibm,ares,https://github.com/IBM/ares,1,0
ibm,power-device-plugin,https://github.com/IBM/power-device-plugin,12,65
ibm,template-node-react,https://github.com/IBM/template-node-react,0,10
ibm,event-automation-demo,https://github.com/IBM/event-automation-demo,3,22
ibm,unitxt,https://github.com/IBM/unitxt,37,93
ibm,dsce-sample-apps,https://github.com/IBM/dsce-sample-apps,3,99
ibm,continuous-delivery-go-sdk,https://github.com/IBM/continuous-delivery-go-sdk,20,95
ibm,watsonx-ai-samples,https://github.com/IBM/watsonx-ai-samples,0,61
ibm,vpc-file-storage-mount-helper,https://github.com/IBM/vpc-file-storage-mount-helper,10,63
ibm,STAR,https://github.com/IBM/STAR,1,0
ibm,ibm-block-csi-driver,https://github.com/IBM/ibm-block-csi-driver,0,73
ibm,i-oic-better-together-data-ai-healthcare,https://github.com/IBM/i-oic-better-together-data-ai-healthcare,62,0
ibm,apiconnect-trawler,https://github.com/IBM/apiconnect-trawler,8,87
ibm,Scale_System_PRECHECK_TOOL,https://github.com/IBM/Scale_System_PRECHECK_TOOL,1,0
ibm,waiops-tech-jam,https://github.com/IBM/waiops-tech-jam,1,88
ibm,opentalaria,https://github.com/IBM/opentalaria,3,48
ibm,actionspz,https://github.com/IBM/actionspz,2,2
ibm,secrets-manager-node-sdk,https://github.com/IBM/secrets-manager-node-sdk,7,43
ibm,secrets-manager-python-sdk,https://github.com/IBM/secrets-manager-python-sdk,4,78
ibm,secrets-manager-java-sdk,https://github.com/IBM/secrets-manager-java-sdk,4,90
ibm,secrets-manager-go-sdk,https://github.com/IBM/secrets-manager-go-sdk,21,85
