org_name,repo_name,issue_title,comments_count,labels,opened_date,hyperlink
shopify,cli,[Bug]: Function runner not compatible with shopify_function 1.x crate?,5,Type: Bug,2025-06-28,https://github.com/shopify/cli/issues/6037
shopify,cli,[Bug]: Shopify CLI theme dev Fails to Launch Vite on macOS with Homebrew Node LTS -- Shopify CLI 3.80.0 - 3.80.6,1,"Type: Bug, Area: @shopify/theme, no-issue-activity",2025-05-18,https://github.com/shopify/cli/issues/5827
shopify,cli,[Bug]: Shopify CLI unauthorized access despite being store owner,5,"Type: Bug, Area: @shopify/theme, State: Waiting for feedback",2025-07-02,https://github.com/shopify/cli/issues/6046
shopify,cli,[Bug]: assets/ 部分静态资源文件 unload error 导致 theme dev 无法启动,0,Type: Bug,2025-07-11,https://github.com/shopify/cli/issues/6095
shopify,cli,[Bug]: <YOUR ISSUE TITLE>,0,Type: Bug,2025-07-11,https://github.com/shopify/cli/issues/6097
shopify,cli,[Bug]: shopify app config link - success message goes to stderr,2,Type: Bug,2025-06-28,https://github.com/shopify/cli/issues/6038
shopify,cli,[Bug]: shopify app deploy fails to deploy from CI using cli/latest,4,Type: Bug,2025-07-03,https://github.com/shopify/cli/issues/6066
shopify,cli,[Bug]: POS UI Extension,1,"Type: Bug, State: Waiting for feedback",2025-07-03,https://github.com/shopify/cli/issues/6068
shopify,cli,"[Bug]: shopify app deploy fails with """"Version couldn't be created"""" with theme and web pixel extension.",6,Type: Bug,2025-07-04,https://github.com/shopify/cli/issues/6069
shopify,cli,[Bug]: Theme ID mismatch,1,"Type: Bug, Area: @shopify/theme",2025-07-09,https://github.com/shopify/cli/issues/6085
shopify,cli,[Bug]: `shopify theme package` error since Shopify CLI `3.81.0`,5,"Type: Bug, Area: @shopify/theme",2025-06-27,https://github.com/shopify/cli/issues/6033
shopify,cli,graphql endpoint for `shopify theme push` intermittently unavailable,7,Area: @shopify/theme,2025-05-16,https://github.com/shopify/cli/issues/5819
shopify,cli,[Bug]: Failed to perform the initial theme synchronization,30,"Severity: 2, Type: Bug, Area: @shopify/theme",2025-05-31,https://github.com/shopify/cli/issues/5917
shopify,cli,[Feature]: Command-Specific Environment Flags,1,"Type: Enhancement, Area: @shopify/theme",2025-05-22,https://github.com/shopify/cli/issues/5889
shopify,cli,[Bug]: The item counter of the cart always shows 0,1,"Type: Bug, Area: @shopify/hydrogen",2025-06-17,https://github.com/shopify/cli/issues/5993
shopify,cli,[Bug]: `shopify theme dev` styles.css compiled asset returns 500 Internal Server Error in local dev,11,"Type: Bug, Area: @shopify/theme",2025-06-22,https://github.com/shopify/cli/issues/6005
shopify,cli,[Bug]: Deploying app succeeds but does not update the web pixel,1,Type: Bug,2025-06-27,https://github.com/shopify/cli/issues/6034
shopify,cli,[Bug]: Minified React error #31 on Admin Block Extension,0,Type: Bug,2025-06-30,https://github.com/shopify/cli/issues/6039
shopify,cli,[Feature]: Remove the mutable behaviour of the default http tunnel,9,Type: Enhancement,2025-06-24,https://github.com/shopify/cli/issues/6013
shopify,cli,[Bug]: Auth Issue,3,"Type: Bug, Area: @shopify/app",2025-06-11,https://github.com/shopify/cli/issues/5971
shopify,cli,[Bug]: `shopify theme package` command excludes `/listings/` directories from output ZIP,3,Type: Bug,2025-06-12,https://github.com/shopify/cli/issues/5975
shopify,cli,[Feature]: Ignore Files When Deploying Theme Extension,8,"Type: Enhancement, Area: @shopify/theme",2025-06-05,https://github.com/shopify/cli/issues/5951
shopify,cli,Shopify login` and `auth` commands fail in standard VS Code Dev Container,0,Type: Bug,2025-06-21,https://github.com/shopify/cli/issues/6004
shopify,cli,Checkout Ui extension app issue.,4,,2025-05-29,https://github.com/shopify/cli/issues/5910
shopify,cli,[Bug]: Shopify CLI latest version on npm is stuck at 3.81.2 – cannot upgrade globally,7,Type: Bug,2025-06-18,https://github.com/shopify/cli/issues/5998
shopify,cli,[Bug]: Maximum call stack size exceeded on npm init @shopify/app@latest,7,"Type: Bug, State: Waiting for feedback",2025-06-11,https://github.com/shopify/cli/issues/5973
shopify,cli,[Bug]: Images added to /assets via Shopify CLI corrupted,5,"Type: Bug, Area: @shopify/theme",2025-05-20,https://github.com/shopify/cli/issues/5856
shopify,cli,[Bug]: `shopify theme init` clone keeps remote repo,0,"Type: Bug, Area: @shopify/theme",2025-06-09,https://github.com/shopify/cli/issues/5957
shopify,cli,[Bug]: shopify.app.toml file does not update the app handle,2,Type: Bug,2025-06-06,https://github.com/shopify/cli/issues/5955
