company;github_org;repo;hyperlink;last_commit;days_since_commit;activity_status;stars;language;is_fork;is_archived
Microsoft;microsoft;xdp-for-windows;https://github.com/microsoft/xdp-for-windows;2025-08-18;0;Very Active;420;C;False;False
Microsoft;microsoft;OpenAPI.NET;https://github.com/microsoft/OpenAPI.NET;2025-08-18;0;Very Active;1515;C#;False;False
Microsoft;microsoft;wassette;https://github.com/microsoft/wassette;2025-08-18;0;Very Active;534;Rust;False;False
Microsoft;microsoft;Generative-AI-for-beginners-java;https://github.com/microsoft/Generative-AI-for-beginners-java;2025-08-12;6;Very Active;63;Java;False;False
Microsoft;microsoft;agent-lightning;https://github.com/microsoft/agent-lightning;2025-08-18;0;Very Active;858;Python;False;False
Microsoft;microsoft;genaiscript;https://github.com/microsoft/genaiscript;2025-08-13;5;Very Active;2765;TypeScript;False;False
Microsoft;microsoft;fluentui-contrib;https://github.com/microsoft/fluentui-contrib;2025-08-18;0;Very Active;45;TypeScript;False;False
Microsoft;microsoft;documentdb;https://github.com/microsoft/documentdb;2025-08-16;2;Very Active;1887;C;False;False
Microsoft;microsoft;semantic-kernel-java;https://github.com/microsoft/semantic-kernel-java;2025-08-18;0;Very Active;206;Java;False;False
Microsoft;microsoft;UFO;https://github.com/microsoft/UFO;2025-08-07;11;Active;7559;Python;False;False
Microsoft;microsoft;go-mssqldb;https://github.com/microsoft/go-mssqldb;2025-08-13;4;Very Active;358;Go;True;False
Microsoft;microsoft;vscode-commander;https://github.com/microsoft/vscode-commander;2025-08-06;11;Active;19;TypeScript;False;False
Microsoft;microsoft;kiota;https://github.com/microsoft/kiota;2025-08-15;3;Very Active;3474;C#;False;False
Microsoft;microsoft;MoGe;https://github.com/microsoft/MoGe;2025-08-01;17;Active;1569;Python;False;False
Microsoft;microsoft;bioemu;https://github.com/microsoft/bioemu;2025-08-03;14;Active;601;Python;False;False
Microsoft;microsoft;OptiGuide;https://github.com/microsoft/OptiGuide;2025-08-13;5;Very Active;486;Python;False;False
Microsoft;microsoft;smtpoauth2;https://github.com/microsoft/smtpoauth2;2025-08-18;0;Very Active;0;;False;False
Microsoft;microsoft;language-server-protocol;https://github.com/microsoft/language-server-protocol;2025-08-07;11;Active;12080;HTML;False;False
Microsoft;microsoft;AnthropomorphicIntelligence;https://github.com/microsoft/AnthropomorphicIntelligence;2025-08-18;0;Very Active;14;Python;False;False
Microsoft;microsoft;lets-learn-mcp-javascript;https://github.com/microsoft/lets-learn-mcp-javascript;2025-07-21;27;Active;73;TypeScript;False;False
Microsoft;microsoft;lets-learn-mcp-python;https://github.com/microsoft/lets-learn-mcp-python;2025-08-15;3;Very Active;64;Python;False;False
Microsoft;microsoft;BCApps;https://github.com/microsoft/BCApps;2025-08-18;0;Very Active;444;AL;False;False
Microsoft;microsoft;vcpkg;https://github.com/microsoft/vcpkg;2025-08-16;2;Very Active;25423;CMake;False;False
Microsoft;microsoft;vscode-python-environments;https://github.com/microsoft/vscode-python-environments;2025-08-15;2;Very Active;56;TypeScript;False;False
Microsoft;microsoft;navcontainerhelper;https://github.com/microsoft/navcontainerhelper;2025-08-18;0;Very Active;420;PowerShell;False;False
Microsoft;microsoft;IoT-For-Beginners;https://github.com/microsoft/IoT-For-Beginners;2025-08-07;11;Active;16413;C++;False;False
Microsoft;microsoft;monaco-editor;https://github.com/microsoft/monaco-editor;2025-08-15;2;Very Active;43638;JavaScript;False;False
Microsoft;microsoft;Data-Science-For-Beginners;https://github.com/microsoft/Data-Science-For-Beginners;2025-08-07;11;Active;30373;Jupyter Notebook;False;False
Microsoft;microsoft;PowerApps-Samples;https://github.com/microsoft/PowerApps-Samples;2025-08-11;6;Very Active;1751;C#;False;False
Microsoft;microsoft;VbsEnclaveTooling;https://github.com/microsoft/VbsEnclaveTooling;2025-08-18;0;Very Active;16;C++;False;False
Microsoft;microsoft;WSL;https://github.com/microsoft/WSL;2025-08-16;2;Very Active;29589;C++;False;False
Microsoft;microsoft;vscode-extension-samples;https://github.com/microsoft/vscode-extension-samples;2025-08-07;10;Active;9589;TypeScript;False;False
Microsoft;microsoft;PowerAppsCodeApps;https://github.com/microsoft/PowerAppsCodeApps;2025-08-15;2;Very Active;92;;False;False
Microsoft;microsoft;fluentui-charting-contrib;https://github.com/microsoft/fluentui-charting-contrib;2025-08-18;0;Very Active;21;TypeScript;False;False
Microsoft;microsoft;openaivec;https://github.com/microsoft/openaivec;2025-08-18;0;Very Active;9;Python;False;False
Microsoft;microsoft;WinUI-Gallery;https://github.com/microsoft/WinUI-Gallery;2025-08-13;5;Very Active;3164;C#;False;False
Microsoft;microsoft;PowerPlatformConnectors;https://github.com/microsoft/PowerPlatformConnectors;2025-08-13;4;Very Active;1122;C#;False;False
Microsoft;microsoft;go-images-versions;https://github.com/microsoft/go-images-versions;2025-08-18;0;Very Active;1;;False;False
Microsoft;microsoft;AL-Go;https://github.com/microsoft/AL-Go;2025-08-18;0;Very Active;379;PowerShell;False;False
Microsoft;microsoft;RetrievalAttention;https://github.com/microsoft/RetrievalAttention;2025-08-18;0;Very Active;75;Python;False;False
Microsoft;microsoft;AzureLinuxVulnerabilityData;https://github.com/microsoft/AzureLinuxVulnerabilityData;2025-08-18;0;Very Active;39;;False;False
Microsoft;microsoft;TinyTroupe;https://github.com/microsoft/TinyTroupe;2025-08-05;13;Active;7013;Jupyter Notebook;False;False
Microsoft;microsoft;fluentui-system-icons;https://github.com/microsoft/fluentui-system-icons;2025-08-15;2;Very Active;9755;HTML;False;False
Microsoft;microsoft;.github;https://github.com/microsoft/.github;2025-08-15;3;Very Active;115;;False;False
Microsoft;microsoft;monosize;https://github.com/microsoft/monosize;2025-08-07;10;Active;39;TypeScript;False;False
Microsoft;microsoft;azure-pipelines-tasks;https://github.com/microsoft/azure-pipelines-tasks;2025-08-18;0;Very Active;3570;TypeScript;False;False
Microsoft;microsoft;vscode-pull-request-github;https://github.com/microsoft/vscode-pull-request-github;2025-08-18;0;Very Active;2432;TypeScript;False;False
Microsoft;microsoft;VSExtensibility;https://github.com/microsoft/VSExtensibility;2025-08-11;7;Very Active;414;C#;False;False
Microsoft;microsoft;MSBuildCache;https://github.com/microsoft/MSBuildCache;2025-07-31;17;Active;50;C#;False;False
Microsoft;microsoft;benchmark-qed;https://github.com/microsoft/benchmark-qed;2025-08-13;4;Very Active;43;Python;False;False
Microsoft;microsoft;Tutel;https://github.com/microsoft/Tutel;2025-08-12;5;Very Active;892;C;False;False
Microsoft;microsoft;vscode-gulp-electron;https://github.com/microsoft/vscode-gulp-electron;2025-08-18;0;Very Active;6;JavaScript;False;False
Microsoft;microsoft;regorus;https://github.com/microsoft/regorus;2025-08-18;0;Very Active;217;Rust;False;False
Microsoft;microsoft;Build-your-own-copilot-Solution-Accelerator;https://github.com/microsoft/Build-your-own-copilot-Solution-Accelerator;2025-08-18;0;Very Active;247;TypeScript;False;False
Microsoft;microsoft;amudai;https://github.com/microsoft/amudai;2025-08-18;0;Very Active;30;Rust;False;False
Microsoft;microsoft;vscode-loc;https://github.com/microsoft/vscode-loc;2025-08-18;0;Very Active;645;;False;False
Microsoft;microsoft;FLAML;https://github.com/microsoft/FLAML;2025-08-15;3;Very Active;4189;Jupyter Notebook;False;False
Microsoft;microsoft;windows-drivers-rs;https://github.com/microsoft/windows-drivers-rs;2025-08-15;2;Very Active;1703;Rust;False;False
Microsoft;microsoft;MInference;https://github.com/microsoft/MInference;2025-08-11;7;Very Active;1106;Python;False;False
Microsoft;microsoft;renderformer;https://github.com/microsoft/renderformer;2025-08-17;0;Very Active;703;Python;False;False
Microsoft;microsoft;FIVE-UI-Evol;https://github.com/microsoft/FIVE-UI-Evol;2025-08-18;0;Very Active;6;JavaScript;False;False
Microsoft;microsoft;vscode-atom-keybindings;https://github.com/microsoft/vscode-atom-keybindings;2025-07-29;20;Active;148;JavaScript;False;False
Microsoft;microsoft;testfx;https://github.com/microsoft/testfx;2025-08-18;0;Very Active;918;C#;False;False
Microsoft;microsoft;msbuild-lab328-cea-agentssdk;https://github.com/microsoft/msbuild-lab328-cea-agentssdk;2025-08-18;0;Very Active;7;C#;False;False
Microsoft;microsoft;vscode-languageserver-node;https://github.com/microsoft/vscode-languageserver-node;2025-08-11;7;Very Active;1635;TypeScript;False;False
Microsoft;microsoft;vscode-eslint;https://github.com/microsoft/vscode-eslint;2025-08-18;0;Very Active;1845;TypeScript;False;False
Microsoft;microsoft;DeepVideoDiscovery;https://github.com/microsoft/DeepVideoDiscovery;2025-08-06;12;Active;56;Python;False;False
Microsoft;microsoft;LightGBM;https://github.com/microsoft/LightGBM;2025-08-15;3;Very Active;17509;C++;False;False
Microsoft;microsoft;promptflow;https://github.com/microsoft/promptflow;2025-08-14;4;Very Active;10679;Python;False;False
Microsoft;microsoft;proxy;https://github.com/microsoft/proxy;2025-08-18;0;Very Active;2766;C++;False;False
Microsoft;microsoft;TaskWeaver;https://github.com/microsoft/TaskWeaver;2025-08-18;0;Very Active;5865;Python;False;False
Microsoft;microsoft;playwright.dev;https://github.com/microsoft/playwright.dev;2025-08-18;0;Very Active;150;MDX;False;False
Microsoft;microsoft;fluentui-blazor;https://github.com/microsoft/fluentui-blazor;2025-08-17;0;Very Active;4484;C#;False;False
Microsoft;microsoft;fabric-toolbox;https://github.com/microsoft/fabric-toolbox;2025-08-15;3;Very Active;385;Jupyter Notebook;False;False
Microsoft;microsoft;DirectXMath;https://github.com/microsoft/DirectXMath;2025-08-16;2;Very Active;1695;C++;False;False
Microsoft;microsoft;pyright;https://github.com/microsoft/pyright;2025-08-18;0;Very Active;14662;Python;False;False
Microsoft;microsoft;CopilotChatAnalytics;https://github.com/microsoft/CopilotChatAnalytics;2025-08-15;2;Very Active;3;;False;False
